config_id	batch	origin	plan_memory_seeds	restrict_modes	config_digest	disable_cv_pipelining	enable_preload	cv_pipeline_depth	enable_cv_lazy_loading	enable_auto_multi_buffer	local_multi_buffer_strategy	mix_multi_buffer_strategy	enable_code_motion	enable_ubuf_saving	tile_mix_cube_loop	tile_mix_vector_loop	disable_align_alloc_size	enable_hivm_auto_storage_align	disable_enable_stride_align	disable_infer_hivm_data_layout
plan_memory_018_c8029b307c13cdd1	plan_memory	exhaustive	18	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_019_c8029b307c13cdd1	plan_memory	exhaustive	19	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_020_c8029b307c13cdd1	plan_memory	exhaustive	0	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_021_c8029b307c13cdd1	plan_memory	exhaustive	1	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_022_c8029b307c13cdd1	plan_memory	exhaustive	2	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_023_c8029b307c13cdd1	plan_memory	exhaustive	3	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_024_c8029b307c13cdd1	plan_memory	exhaustive	4	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_025_c8029b307c13cdd1	plan_memory	exhaustive	5	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_026_c8029b307c13cdd1	plan_memory	exhaustive	6	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_027_c8029b307c13cdd1	plan_memory	exhaustive	7	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_028_c8029b307c13cdd1	plan_memory	exhaustive	8	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_029_c8029b307c13cdd1	plan_memory	exhaustive	9	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_030_c8029b307c13cdd1	plan_memory	exhaustive	10	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_031_c8029b307c13cdd1	plan_memory	exhaustive	11	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_032_c8029b307c13cdd1	plan_memory	exhaustive	12	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_033_c8029b307c13cdd1	plan_memory	exhaustive	13	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_034_c8029b307c13cdd1	plan_memory	exhaustive	14	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_035_c8029b307c13cdd1	plan_memory	exhaustive	15	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_036_c8029b307c13cdd1	plan_memory	exhaustive	16	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_037_c8029b307c13cdd1	plan_memory	exhaustive	17	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_038_c8029b307c13cdd1	plan_memory	exhaustive	18	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_039_c8029b307c13cdd1	plan_memory	exhaustive	19	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_000_bd0bee20cfa74eb6	cvpipelining	exhaustive	0-19	0,1	bd0bee20cfa74eb6	1	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_001_30cddb034ec403bb	cvpipelining	exhaustive	0-19	0,1	30cddb034ec403bb	0	1	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_002_c8029b307c13cdd1	cvpipelining	exhaustive	0-19	0,1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_003_0dee26c18b191bc4	cvpipelining	exhaustive	0-19	0,1	0dee26c18b191bc4	0	0	0	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_004_78b94b316d6438b0	cvpipelining	exhaustive	0-19	0,1	78b94b316d6438b0	0	0	1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_005_3ce76558c9ed8fc7	cvpipelining	exhaustive	0-19	0,1	3ce76558c9ed8fc7	0	0	2	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_006_50a2998750cafaa0	cvpipelining	exhaustive	0-19	0,1	50a2998750cafaa0	0	0	3	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_007_2c6c8120e825d6be	cvpipelining	exhaustive	0-19	0,1	2c6c8120e825d6be	0	0	4	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_008_a2e92a1ed78a6d48	cvpipelining	exhaustive	0-19	0,1	a2e92a1ed78a6d48	0	1	-1	1	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_009_f48198c617a14acd	cvpipelining	exhaustive	0-19	0,1	f48198c617a14acd	0	0	-1	1	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_010_bc642e8945db14cb	cvpipelining	exhaustive	0-19	0,1	bc642e8945db14cb	0	0	0	1	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_011_2979e8cbbee1ddb9	cvpipelining	exhaustive	0-19	0,1	2979e8cbbee1ddb9	0	0	1	1	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_012_04929287953507ca	cvpipelining	exhaustive	0-19	0,1	04929287953507ca	0	0	2	1	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_013_88de06e2782f3aef	cvpipelining	exhaustive	0-19	0,1	88de06e2782f3aef	0	0	3	1	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_014_3fc1e43d78a32e7c	cvpipelining	exhaustive	0-19	0,1	3fc1e43d78a32e7c	0	0	4	1	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
suffix_ub_passes_000_c8029b307c13cdd1	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
suffix_ub_passes_001_2267cd7231b58885	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	2267cd7231b58885	0	0	-1	0	1	no-l0c	only-cube	1	0	1	1	0	1	0	0
suffix_ub_passes_002_970cf55a9404387b	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	970cf55a9404387b	0	0	-1	0	1	no-limit	no-limit	1	0	1	1	0	1	0	0
suffix_ub_passes_003_9a1f379379e92693	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	9a1f379379e92693	0	0	-1	0	0	no-l0c	only-cube	0	0	1	1	0	1	0	0
suffix_ub_passes_004_73a6841be2733fdc	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	73a6841be2733fdc	0	0	-1	0	0	no-l0c	only-cube	1	1	1	1	0	1	0	0
suffix_ub_passes_005_05830432833b913a	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	05830432833b913a	0	0	-1	0	0	no-l0c	only-cube	1	0	4	1	0	1	0	0
suffix_ub_passes_006_d72bd4b16c3806b2	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	d72bd4b16c3806b2	0	0	-1	0	0	no-l0c	only-cube	1	0	1	4	0	1	0	0
suffix_ub_passes_007_0247ab4bf4844ca2	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	0247ab4bf4844ca2	0	0	-1	0	1	only-cube	no-l0c	0	1	2	2	0	1	0	0
suffix_ub_passes_008_8f24b0e4f7011454	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	8f24b0e4f7011454	0	0	-1	0	1	only-vector	only-vector	0	1	4	4	0	1	0	0
suffix_ub_passes_009_119c304dd76356fd	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	119c304dd76356fd	0	0	-1	0	1	only-vector	only-vector	1	0	2	2	0	1	0	0
suffix_ub_passes_010_758cb6fa6a25091d	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	758cb6fa6a25091d	0	0	-1	0	1	no-limit	no-limit	0	1	2	4	0	1	0	0
suffix_ub_passes_011_379a772c760ef89e	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	379a772c760ef89e	0	0	-1	0	1	only-cube	no-l0c	1	0	1	4	0	1	0	0
suffix_ub_passes_012_b8bea5854bf28862	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	b8bea5854bf28862	0	0	-1	0	0	no-l0c	only-cube	0	1	2	2	0	1	0	0
suffix_ub_passes_013_2fb9691c9ef9fbd4	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	2fb9691c9ef9fbd4	0	0	-1	0	1	only-cube	no-limit	1	1	4	2	0	1	0	0
suffix_ub_passes_014_2fba13b94bf80521	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	2fba13b94bf80521	0	0	-1	0	1	only-cube	only-vector	1	0	2	1	0	1	0	0
suffix_ub_passes_015_1924d53a7075314d	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	1924d53a7075314d	0	0	-1	0	1	no-limit	no-l0c	1	1	4	2	0	1	0	0
suffix_ub_passes_016_6b02062afed4af08	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	6b02062afed4af08	0	0	-1	0	1	only-vector	no-l0c	1	0	1	1	0	1	0	0
suffix_ub_passes_017_45575222abd37b92	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	45575222abd37b92	0	0	-1	0	1	no-l0c	only-vector	0	0	1	2	0	1	0	0
suffix_ub_passes_018_548836c6e0aa8ad7	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	548836c6e0aa8ad7	0	0	-1	0	1	no-l0c	no-limit	1	1	1	4	0	1	0	0
suffix_ub_passes_019_6efaee6cad1c2a14	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	6efaee6cad1c2a14	0	0	-1	0	1	no-limit	only-vector	0	0	1	4	0	1	0	0
suffix_ub_passes_020_f33a600108783cfd	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	f33a600108783cfd	0	0	-1	0	1	only-vector	only-cube	0	1	1	4	0	1	0	0
suffix_ub_passes_021_2b62d941181e0cae	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	2b62d941181e0cae	0	0	-1	0	1	only-cube	only-cube	1	0	4	4	0	1	0	0
suffix_ub_passes_022_aaf757ac46c2091e	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	aaf757ac46c2091e	0	0	-1	0	1	no-l0c	no-l0c	0	1	1	4	0	1	0	0
suffix_ub_passes_023_d34df711ee02ac89	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	d34df711ee02ac89	0	0	-1	0	1	no-limit	only-cube	1	0	4	2	0	1	0	0
suffix_ub_passes_024_eab923947adf50db	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	eab923947adf50db	0	0	-1	0	1	only-vector	no-limit	0	1	1	2	0	1	0	0
suffix_ub_passes_025_1e226062bcae86f6	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	1e226062bcae86f6	0	0	-1	0	1	no-limit	only-cube	1	1	2	1	0	1	0	0
suffix_ub_passes_026_1e6c340c143e51a5	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	1e6c340c143e51a5	0	0	-1	0	1	no-limit	no-limit	0	0	2	4	0	1	0	0
suffix_ub_passes_027_196bdf96be276b7d	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	196bdf96be276b7d	0	0	-1	0	1	no-l0c	only-cube	0	1	2	1	0	1	0	0
suffix_ub_passes_028_2f2c191757b4a27e	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	2f2c191757b4a27e	0	0	-1	0	1	only-vector	no-limit	0	1	1	4	0	1	0	0
suffix_ub_passes_029_3a20c5a6e38eae3f	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	3a20c5a6e38eae3f	0	0	-1	0	1	no-limit	only-cube	0	1	4	1	0	1	0	0
suffix_ub_passes_030_28d67cedfd6019ca	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	28d67cedfd6019ca	0	0	-1	0	1	no-limit	no-l0c	0	1	2	4	0	1	0	0
suffix_ub_passes_031_289f08b3f21d2129	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	289f08b3f21d2129	0	0	-1	0	1	only-cube	only-vector	0	0	2	1	0	1	0	0
suffix_ub_passes_032_28cadbf19df34e3b	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	28cadbf19df34e3b	0	0	-1	0	1	only-vector	only-cube	0	1	4	2	0	1	0	0
suffix_ub_passes_033_eeafacbde90d31b7	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	eeafacbde90d31b7	0	0	-1	0	1	only-cube	only-vector	1	0	2	4	0	1	0	0
suffix_ub_passes_034_8928ed912b9d7746	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	8928ed912b9d7746	0	0	-1	0	1	no-limit	no-limit	1	0	2	1	0	1	0	0
suffix_ub_passes_035_990b69318b660d16	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	990b69318b660d16	0	0	-1	0	1	no-limit	no-l0c	1	1	1	1	0	1	0	0
suffix_ub_passes_036_5d944c0da8cbbecd	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	5d944c0da8cbbecd	0	0	-1	0	1	only-vector	only-vector	0	1	1	4	0	1	0	0
suffix_ub_passes_037_41ced7dd1d527620	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	41ced7dd1d527620	0	0	-1	0	1	no-l0c	only-cube	0	0	4	4	0	1	0	0
suffix_ub_passes_038_14ae3c0a3ec7899c	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	14ae3c0a3ec7899c	0	0	-1	0	1	no-l0c	no-l0c	0	1	2	4	0	1	0	0
suffix_ub_passes_039_90ad9dae64fe70a0	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	90ad9dae64fe70a0	0	0	-1	0	0	no-l0c	only-cube	0	0	4	1	0	1	0	0
suffix_ub_passes_040_678a08103b972dff	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	678a08103b972dff	0	0	-1	0	1	no-limit	only-cube	0	0	2	4	0	1	0	0
suffix_ub_passes_041_1e3b886f4c87f47b	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	1e3b886f4c87f47b	0	0	-1	0	1	no-limit	no-l0c	1	0	1	1	0	1	0	0
suffix_ub_passes_042_8b43940e1adde95f	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	8b43940e1adde95f	0	0	-1	0	0	no-l0c	only-cube	1	1	2	1	0	1	0	0
suffix_ub_passes_043_cca465ca1041c142	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	cca465ca1041c142	0	0	-1	0	0	no-l0c	only-cube	1	0	2	4	0	1	0	0
suffix_ub_passes_044_792a25f630d32106	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	792a25f630d32106	0	0	-1	0	1	no-limit	no-limit	0	0	1	2	0	1	0	0
suffix_ub_passes_045_0cc38438c85a83a3	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	0cc38438c85a83a3	0	0	-1	0	1	no-l0c	no-l0c	0	0	1	1	0	1	0	0
suffix_ub_passes_046_c342d5de3b88a8e3	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	c342d5de3b88a8e3	0	0	-1	0	1	no-l0c	only-vector	0	1	2	2	0	1	0	0
suffix_ub_passes_047_c8a70b8d7bcf2827	suffix_ub_passes	anchor+greedy-pairwise	0-19	0,1	c8a70b8d7bcf2827	0	0	-1	0	1	no-limit	no-limit	1	1	4	4	0	1	0	0
align_storage_infer_data_layout_000_fe4cc15e237edfb1	align_storage_infer_data_layout	exhaustive	0-19	0,1	fe4cc15e237edfb1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	0	0	0
align_storage_infer_data_layout_001_f41585ed47682e1a	align_storage_infer_data_layout	exhaustive	0-19	0,1	f41585ed47682e1a	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	0	0	1
align_storage_infer_data_layout_002_422d6be554efccd3	align_storage_infer_data_layout	exhaustive	0-19	0,1	422d6be554efccd3	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	0	1	0
align_storage_infer_data_layout_003_c8366034f33b0aaa	align_storage_infer_data_layout	exhaustive	0-19	0,1	c8366034f33b0aaa	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	0	1	1
align_storage_infer_data_layout_004_c8029b307c13cdd1	align_storage_infer_data_layout	exhaustive	0-19	0,1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
align_storage_infer_data_layout_005_5d472280ed7980eb	align_storage_infer_data_layout	exhaustive	0-19	0,1	5d472280ed7980eb	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	1
align_storage_infer_data_layout_006_8b8bb1dffdcb83a7	align_storage_infer_data_layout	exhaustive	0-19	0,1	8b8bb1dffdcb83a7	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	1	0
align_storage_infer_data_layout_007_d6163cd4edcc3226	align_storage_infer_data_layout	exhaustive	0-19	0,1	d6163cd4edcc3226	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	1	1
align_storage_infer_data_layout_008_01ed6a7d82cb85a0	align_storage_infer_data_layout	exhaustive	0-19	0,1	01ed6a7d82cb85a0	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	1	0	0	0
align_storage_infer_data_layout_009_113a953f11f618a3	align_storage_infer_data_layout	exhaustive	0-19	0,1	113a953f11f618a3	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	1	0	0	1
align_storage_infer_data_layout_010_991fd99880524274	align_storage_infer_data_layout	exhaustive	0-19	0,1	991fd99880524274	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	1	0	1	0
align_storage_infer_data_layout_011_c51870521d370a43	align_storage_infer_data_layout	exhaustive	0-19	0,1	c51870521d370a43	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	1	0	1	1
align_storage_infer_data_layout_012_702465ee73fb5dd1	align_storage_infer_data_layout	exhaustive	0-19	0,1	702465ee73fb5dd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	1	1	0	0
align_storage_infer_data_layout_013_7b126173afd7b802	align_storage_infer_data_layout	exhaustive	0-19	0,1	7b126173afd7b802	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	1	1	0	1
align_storage_infer_data_layout_014_6f09b3a03f95368f	align_storage_infer_data_layout	exhaustive	0-19	0,1	6f09b3a03f95368f	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	1	1	1	0
align_storage_infer_data_layout_015_294a9806d47c8fac	align_storage_infer_data_layout	exhaustive	0-19	0,1	294a9806d47c8fac	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	1	1	1	1
cvpipelining_suffix_plan_memory_cross_000_c8029b307c13cdd1	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_suffix_plan_memory_cross_001_bd0bee20cfa74eb6	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	bd0bee20cfa74eb6	1	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_suffix_plan_memory_cross_002_30cddb034ec403bb	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	30cddb034ec403bb	0	1	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_suffix_plan_memory_cross_003_f48198c617a14acd	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	f48198c617a14acd	0	0	-1	1	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_suffix_plan_memory_cross_004_2267cd7231b58885	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	2267cd7231b58885	0	0	-1	0	1	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_suffix_plan_memory_cross_005_9a1f379379e92693	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	9a1f379379e92693	0	0	-1	0	0	no-l0c	only-cube	0	0	1	1	0	1	0	0
cvpipelining_suffix_plan_memory_cross_006_73a6841be2733fdc	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	73a6841be2733fdc	0	0	-1	0	0	no-l0c	only-cube	1	1	1	1	0	1	0	0
cvpipelining_suffix_plan_memory_cross_007_702465ee73fb5dd1	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	702465ee73fb5dd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	1	1	0	0
cvpipelining_suffix_plan_memory_cross_008_fe4cc15e237edfb1	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	fe4cc15e237edfb1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	0	0	0
cvpipelining_suffix_plan_memory_cross_009_8b8bb1dffdcb83a7	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	8b8bb1dffdcb83a7	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	1	0
cvpipelining_suffix_plan_memory_cross_010_5d472280ed7980eb	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	5d472280ed7980eb	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	1
cvpipelining_suffix_plan_memory_cross_011_2186aaaedbb3d874	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	2186aaaedbb3d874	0	0	1	1	1	no-limit	no-limit	0	1	4	2	1	0	1	1
cvpipelining_suffix_plan_memory_cross_012_390e9f4fd537b17b	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	390e9f4fd537b17b	0	0	0	1	1	only-cube	only-vector	0	0	2	4	1	1	1	1
cvpipelining_suffix_plan_memory_cross_013_e54c59d1eda9d4fd	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	e54c59d1eda9d4fd	0	0	2	0	1	only-vector	no-l0c	1	0	4	2	0	0	0	0
cvpipelining_suffix_plan_memory_cross_014_92e6d1bc224fd28c	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	92e6d1bc224fd28c	0	0	4	0	1	only-cube	no-limit	1	0	2	4	0	0	0	0
cvpipelining_suffix_plan_memory_cross_015_00ac8ea1beba052f	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	00ac8ea1beba052f	0	1	-1	1	1	only-vector	no-l0c	0	1	4	4	1	1	1	1
