input_file,oracle_status,oracle_returncode,ub_model_peak_bits,ub_ascendir_peak_bits_from_max_addr,ub_delta_model_minus_ascendir_bits,ub_overflow,ub_overflow_required_bits,ub_capacity_bits,memory_json,suffix_input_mlir,after_plan_mlir,oracle_log,work_dir,errors
data/fake_attn_fwd.ttadapter,success,0,768,512,256,False,,1572864,Output/memory_modeling_adapters/simplified_smoke/fake_attn_fwd.ttadapter/memory.json,Output/memory_modeling_adapters/simplified_smoke/fake_attn_fwd.ttadapter/suffix_input.mlir,/Users/YokeLove/huawei/AscendNPU-IR/Output/memory_modeling_adapters/simplified_smoke/fake_attn_fwd.ttadapter/after_plan.mlir,,Output/memory_modeling_adapters/simplified_smoke/fake_attn_fwd.ttadapter,
data/fake_attn_fwd_overflow.ttadapter,failed,1,3145728,2097152,1048576,True,2097152,1572864,Output/memory_modeling_adapters/simplified_smoke/fake_attn_fwd_overflow.ttadapter/memory.json,Output/memory_modeling_adapters/simplified_smoke/fake_attn_fwd_overflow.ttadapter/suffix_input.mlir,,Output/memory_modeling_adapters/simplified_smoke/fake_attn_fwd_overflow.ttadapter/oracle.log,Output/memory_modeling_adapters/simplified_smoke/fake_attn_fwd_overflow.ttadapter,
